Regular Timestamp,Timestamp (Number),Distance (cm)
12:27:16.514,44836.514,264.61
12:27:16.549,44836.549,264.52
12:27:16.583,44836.584,265.65
12:27:16.618,44836.618,266.03
12:27:16.653,44836.653,264.21
12:27:16.687,44836.687,265.52
12:27:16.722,44836.722,264.18
12:27:16.756,44836.756,265.38
12:27:16.791,44836.791,264.56
12:27:16.825,44836.825,265.77
12:27:16.860,44836.86,265.31
12:27:16.894,44836.894,265.22
12:27:16.929,44836.929,264.78
12:27:16.963,44836.963,263.82
12:27:16.998,44836.998,263.78
12:27:17.032,44837.032,263.56
12:27:17.067,44837.067,263.56
12:27:17.101,44837.101,263.84
12:27:17.136,44837.136,264.16
12:27:17.170,44837.171,263.13
12:27:17.205,44837.205,263.05
12:27:17.239,44837.239,262.93
12:27:17.273,44837.274,263.13
12:27:17.308,44837.309,262.62
12:27:17.342,44837.342,263.66
12:27:17.377,44837.377,262.21
12:27:17.411,44837.411,263.24
12:27:17.446,44837.446,261.88
12:27:17.480,44837.48,262.17
12:27:17.514,44837.514,261.49
12:27:17.549,44837.549,262.33
12:27:17.583,44837.583,261.35
12:27:17.618,44837.618,262.5
12:27:17.652,44837.652,262.41
12:27:17.686,44837.687,261.01
12:27:17.721,44837.721,261.31
12:27:17.755,44837.755,260.77
12:27:17.790,44837.79,261.91
12:27:17.824,44837.824,260.94
12:27:17.858,44837.858,260.35
12:27:17.892,44837.892,260.25
12:27:17.927,44837.927,260.99
12:27:17.960,44837.961,260.97
12:27:17.995,44837.995,260.01
12:27:18.029,44838.029,260.39
12:27:18.064,44838.064,261.57
12:27:18.098,44838.098,259.84
12:27:18.132,44838.133,259.75
12:27:18.166,44838.166,260.03
12:27:18.201,44838.201,260.41
12:27:18.235,44838.235,259.41
12:27:18.269,44838.269,260.11
12:27:18.303,44838.303,260.01
12:27:18.338,44838.338,260.39
12:27:18.372,44838.372,258.98
12:27:18.406,44838.406,259.33
12:27:18.440,44838.44,258.78
12:27:18.474,44838.475,258.57
12:27:18.509,44838.509,258.47
12:27:18.543,44838.543,258.38
12:27:18.577,44838.577,258.24
12:27:18.611,44838.611,259.38
12:27:18.645,44838.645,258.42
12:27:18.680,44838.68,257.88
12:27:18.714,44838.714,257.78
12:27:18.748,44838.748,257.64
12:27:18.782,44838.782,257.54
12:27:18.816,44838.816,257.4
12:27:18.850,44838.85,257.25
12:27:18.884,44838.884,258.43
12:27:18.918,44838.918,257.47
12:27:18.952,44838.952,256.5
12:27:18.987,44838.987,257.64
12:27:19.021,44839.021,257.11
12:27:19.054,44839.054,257.42
12:27:19.088,44839.089,257.39
12:27:19.122,44839.122,257.27
12:27:19.157,44839.157,256.74
12:27:19.190,44839.191,255.81
12:27:19.224,44839.225,256.1
12:27:19.258,44839.259,255.54
12:27:19.292,44839.293,256.68
12:27:19.326,44839.327,255.29
12:27:19.360,44839.361,255.17
12:27:19.394,44839.394,255.07
12:27:19.428,44839.429,254.99
12:27:19.462,44839.463,254.87
12:27:19.496,44839.496,254.78
12:27:19.530,44839.53,255.09
12:27:19.564,44839.565,255.78
12:27:19.598,44839.598,254.33
12:27:19.632,44839.632,255.93
12:27:19.666,44839.666,254.15
12:27:19.700,44839.7,254.11
12:27:19.734,44839.734,254.03
12:27:19.768,44839.768,253.96
12:27:19.802,44839.802,253.91
12:27:19.835,44839.836,255.16
12:27:19.869,44839.869,253.77
12:27:19.904,44839.904,254.2
12:27:19.937,44839.938,254.59
12:27:19.971,44839.972,253.58
12:27:20.005,44840.005,253.87
12:27:20.039,44840.039,253.43
12:27:20.073,44840.073,252.89
12:27:20.107,44840.107,254.03
12:27:20.141,44840.141,253.55
12:27:20.174,44840.174,253.08
12:27:20.208,44840.208,252.91
12:27:20.242,44840.242,253.24
12:27:20.276,44840.276,252.71
12:27:20.310,44840.31,252.59
12:27:20.344,44840.344,252.5
12:27:20.377,44840.378,252.74
12:27:20.411,44840.412,252.21
12:27:20.445,44840.445,252.1
12:27:20.479,44840.479,251.93
12:27:20.512,44840.513,251.83
12:27:20.546,44840.546,251.76
12:27:20.580,44840.58,251.62
12:27:20.614,44840.614,252.77
12:27:20.648,44840.648,252.29
12:27:20.682,44840.682,252.26
12:27:20.715,44840.715,251.37
12:27:20.749,44840.749,251.76
12:27:20.783,44840.783,251.69
12:27:20.817,44840.817,252.12
12:27:20.850,44840.85,251.3
12:27:20.884,44840.884,251.28
12:27:20.918,44840.918,251.3
12:27:20.951,44840.952,251.33
12:27:20.985,44840.985,251.33
12:27:21.019,44841.019,251.28
12:27:21.053,44841.053,250.85
12:27:21.086,44841.086,251.3
12:27:21.120,44841.121,251.25
12:27:21.154,44841.154,250.77
12:27:21.188,44841.188,251.14
12:27:21.221,44841.222,251.11
12:27:21.255,44841.255,251.08
12:27:21.289,44841.289,250.96
12:27:21.323,44841.324,252.17
12:27:21.357,44841.357,251.66
12:27:21.390,44841.391,250.78
12:27:21.424,44841.424,250.66
12:27:21.458,44841.458,250.6
12:27:21.491,44841.492,250.54
12:27:21.525,44841.525,250.46
12:27:21.559,44841.559,250.78
12:27:21.593,44841.593,250.63
12:27:21.626,44841.627,250.6
12:27:21.660,44841.661,250.85
12:27:21.694,44841.694,249.96
12:27:21.727,44841.727,249.93
12:27:21.761,44841.761,251.09
12:27:21.795,44841.795,250.13
12:27:21.829,44841.829,249.69
12:27:21.862,44841.862,249.94
12:27:21.896,44841.896,250.36
12:27:21.930,44841.93,249.89
12:27:21.964,44841.964,249.74
12:27:21.997,44841.997,250.08
12:27:22.031,44842.031,249.53
12:27:22.065,44842.065,249.41
12:27:22.098,44842.098,249.34
12:27:22.132,44842.132,250.56
12:27:22.165,44842.165,250.48
12:27:22.199,44842.199,249.16
12:27:22.232,44842.232,248.62
12:27:22.266,44842.266,249.46
12:27:22.300,44842.3,249.07
12:27:22.334,44842.334,250.22
12:27:22.367,44842.367,250.1
12:27:22.400,44842.401,248.33
12:27:22.434,44842.434,249.45
12:27:22.467,44842.468,248.02
12:27:22.501,44842.501,248.25
12:27:22.535,44842.535,249.4
12:27:22.568,44842.568,248.3
12:27:22.602,44842.602,247.59
12:27:22.635,44842.636,247.42
12:27:22.669,44842.669,246.77
12:27:22.702,44842.703,247.9
12:27:22.736,44842.736,246.39
12:27:22.769,44842.769,246.24
12:27:22.803,44842.803,246.51
12:27:22.836,44842.836,246.27
12:27:22.869,44842.87,245.74
12:27:22.903,44842.903,245.59
12:27:22.936,44842.936,245.85
12:27:22.970,44842.97,246.91
12:27:23.003,44843.004,245.49
12:27:23.037,44843.037,244.9
12:27:23.070,44843.07,244.61
12:27:23.103,44843.104,244.4
12:27:23.137,44843.137,244.23
12:27:23.170,44843.17,244.44
12:27:23.203,44843.203,244.75
12:27:23.237,44843.237,244.13
12:27:23.270,44843.27,243.51
12:27:23.303,44843.304,244.25
12:27:23.337,44843.337,243.26
12:27:23.370,44843.37,243.08
12:27:23.403,44843.403,243.5
12:27:23.436,44843.437,242.91
12:27:23.470,44843.47,244.15
12:27:23.503,44843.503,242.69
12:27:23.536,44843.537,243.87
12:27:23.570,44843.57,242.4
12:27:23.603,44843.603,242.66
12:27:23.636,44843.636,242.07
12:27:23.669,44843.669,242.36
12:27:23.703,44843.703,242.18
12:27:23.736,44843.736,241.54
12:27:23.769,44843.769,242.21
12:27:23.802,44843.803,242.54
12:27:23.835,44843.835,242.33
12:27:23.869,44843.869,241.75
12:27:23.902,44843.902,240.72
12:27:23.935,44843.935,240.51
12:27:23.968,44843.968,240.31
12:27:24.001,44844.001,240.1
12:27:24.034,44844.035,241.18
12:27:24.067,44844.067,240.55
12:27:24.101,44844.101,239.48
12:27:24.133,44844.134,239.33
12:27:24.167,44844.167,239.19
12:27:24.199,44844.2,239.0
12:27:24.233,44844.233,238.83
12:27:24.266,44844.266,239.55
12:27:24.298,44844.299,238.57
12:27:24.332,44844.332,239.23
12:27:24.365,44844.365,239.04
12:27:24.398,44844.398,237.6
12:27:24.430,44844.43,237.84
12:27:24.464,44844.464,237.65
12:27:24.496,44844.496,237.49
12:27:24.530,44844.53,236.93
12:27:24.562,44844.562,237.15
12:27:24.595,44844.596,237.85
12:27:24.628,44844.628,236.82
12:27:24.662,44844.662,236.74
12:27:24.694,44844.694,236.57
12:27:24.727,44844.727,237.68
12:27:24.760,44844.76,236.26
12:27:24.793,44844.793,237.41
12:27:24.826,44844.826,235.95
12:27:24.858,44844.858,235.8
12:27:24.891,44844.892,236.53
12:27:24.924,44844.924,235.49
12:27:24.957,44844.957,234.83
12:27:24.990,44844.99,235.08
12:27:25.022,44845.022,234.89
12:27:25.055,44845.056,234.73
12:27:25.088,44845.088,235.04
12:27:25.121,44845.121,234.05
12:27:25.153,44845.154,233.84
12:27:25.186,44845.186,234.94
12:27:25.219,44845.219,233.93
12:27:25.252,44845.252,233.27
12:27:25.284,44845.284,233.5
12:27:25.317,44845.318,234.17
12:27:25.350,44845.35,233.1
12:27:25.383,44845.383,232.9
12:27:25.415,44845.415,232.73
12:27:25.448,44845.448,232.97
12:27:25.480,44845.481,231.83
12:27:25.513,44845.513,231.68
12:27:25.546,44845.546,232.31
12:27:25.578,44845.578,232.01
12:27:25.611,44845.611,231.46
12:27:25.644,44845.644,232.57
12:27:25.676,44845.676,230.67
12:27:25.709,44845.709,231.32
12:27:25.741,44845.741,230.7
12:27:25.774,44845.774,230.51
12:27:25.807,44845.807,231.13
12:27:25.839,44845.839,230.91
12:27:25.871,44845.872,229.84
12:27:25.904,44845.904,230.98
12:27:25.937,44845.937,229.43
12:27:25.969,44845.969,229.3
12:27:26.001,44846.002,229.09
12:27:26.034,44846.034,230.26
12:27:26.071,44846.072,229.6
12:27:26.099,44846.099,228.61
12:27:26.132,44846.132,228.87
12:27:26.163,44846.164,228.22
12:27:26.196,44846.196,228.92
12:27:26.228,44846.229,227.84
